sector;province;2018-01;2018-02;2018-03;2018-04;2018-05;2018-06;2018-07;2018-08;2018-09;2018-10;2018-11;2019-01;2019-02;2019-03;2019-04;2019-05;2019-07;2019-08;2019-09;2019-10;2019-11;2019-12;2020-01;2020-02;2020-03;2020-04;2020-07;2020-08;2020-09;2020-10;2020-11;2020-12;2021-01;2021-02;2021-03;2021-04;2021-06;2022-06;2021-08;2022-07;2021-09;2021-10;2021-11;2021-12;2022-01;2022-02;2022-03;2023-05
 Tekstil ve Hammaddeleri;KIRKLARELI;1791.19907;2751.88558;2347.23175;2194.94218;2142.84104;1924.1388;2654.43299;2032.05677;2458.43394;2083.25154;1954.44166;2270.07334;1918.32096;2245.13938;2838.01917;2775.8609;1867.90166;2310.54241;2094.79124;2691.41602;2791.70348;2267.89848;2090.21269;2182.87478;2362.26436;1933.03849;1244.09543;1436.54529;1926.34709;1598.63194;1979.25967;1683.51139;1864.83729;1577.69758;1646.38615;1876.05835;1008.88774;2781.10057;2032.15404;2297.76764;2070.61935;2454.39679;2717.43882;2675.3681;2903.06814;3205.2536;3496.65963;4307.60107
 Tütün ;KIRKLARELI;0;0;82.16715;5.4;0;0;405.575;130.8;130.79999;0.29828;0;0;219.59991;207.6;207.6;282.1;0;297.9;0;155.63952;127.68;2.39319;0;0;0;0;0;0;240;360;36.21678;1139.00001;240;0;0;0;142.29;0;585.655;192.45452;62.93;36.21678;0;0;209.19246;255.88251;71.7408;202.5
 Yaş Meyve ve Sebze  ;KIRKLARELI;757.52265;653.23465;778.35412;898.63149;808.61571;198.83009;0;75.89715;342.59111;194.88671;508.09881;625.13326;635.08445;427.75753;424.32631;689.78765;155.16664;35.12243;36.74382;180.6333;465.34515;605.28728;548.2797;521.84389;327.89493;381.58175;80.58782;63.25046;76.13808;164.12531;239.44074;343.02625;353.15221;345.65228;511.54041;817.75516;598.72774;308.64165;71.64083;12.39359;132.5583;239.44074;518.59289;690.35115;741.18976;626.5574;788.78298;540.40356
 Çelik;KIRŞEHIR;0;0;0;0;0;0;5.72909;0.45;4.4937;0;0;0;0.95141;11.98945;0;44.73544;3.58974;0;3.9072;0.43271;46.85442;0;0;0;0;0;0;0;0;0;0;0;2.32932;0;0;0;0;0;0;0;0;0;0;2.08541;1.2427;2.24439;3.52401;11.32826
 Çimento Cam Seramik ve Toprak Ürünleri;KIRŞEHIR;0;0;0;0;30.49565;53.60448;38.55714;23.68387;43.84674;56.05802;110.06102;0;2.21981;35.27225;14.48875;44.55348;25.15211;11.20497;29.30423;50.3695;27.23261;0;22.43908;45.88747;25.64665;0;51.3287;17.00562;76.4862;15.04998;95.93656;1.34063;7.96126;0.00122;72.72321;26.25868;29.26933;35.21855;87.80112;95.29238;33.93164;95.93656;55.64834;84.00073;19.87445;67.87821;26.52387;153.84438
 Demir ve Demir Dışı Metaller ;KIRŞEHIR;1233.08713;1465.60284;1105.49628;837.74674;809.60534;1032.91406;804.26375;591.83529;891.46313;958.73259;1273.2668;754.0924;1082.30998;602.74005;1171.8249;1351.00807;953.37933;956.58121;1158.29891;622.60792;459.33076;925.27331;571.15154;821.19201;1055.55372;820.68696;422.58222;572.79796;732.85848;851.14531;737.06761;597.9488;910.45201;1031.41075;1330.09793;1029.83337;941.77614;1648.65691;787.49099;288.95736;1074.66651;737.06761;1256.59605;1087.26232;965.34923;652.88369;1359.52888;133.90264
 Diğer Sanayi Ürünleri;KIRŞEHIR;0.00247;0.00334;0.00566;6.17623;0;0;0.00036;0.00057;0;0;0;0;0.01135;0.04133;0.44208;1.48999;0.09667;0.1994;0.05002;0.02094;0;0;0;0.00109;0;0;0.00035;0.46772;17.81173;5.46734;0.03832;0;0;0.04554;2.7704;0.00215;0;0.39407;0.26663;9.60567;0.11222;0.03832;0;0.00227;0;0.09688;0.83186;0.00131
 Fındık ve Mamulleri ;KIRŞEHIR;0;0;0;0;0;0;0;0;0;0;14.00287;0;0;0;0;7.08875;0;0;0;0;15.66035;7.79046;0;0;0;0;0;0;0;47.66946;4.27887;0;0;0;0;0;6.71247;0;0;0;0;4.27887;6.21547;0;0;0;7.13808;0
 Hazırgiyim ve Konfeksiyon ;KIRŞEHIR;0.00346;0.10245;0.1521;1.98793;0.45249;4.80861;1.5423;0.91808;1.91413;0.36169;0.54903;1.26001;0.49292;0.45647;1.03478;3.97723;2.96876;1.3378;0.26332;0.70401;2.49354;10.00753;5.42362;0.00167;1.75714;0.2132;0.30025;4.39754;14.53892;3.05232;0.21441;0;0.73679;1.14877;5.90272;0.21872;0.02422;12.04046;1.93122;30.91448;0;0.21441;0.00029;3.21375;0;0.40387;0.15918;2.41016
 Hububat. Bakliyat. Yağlı Tohumlar ve Mamulleri ;KIRŞEHIR;142.11045;118.14923;165.55782;241.1141;72.16326;1.51983;21.13951;186.40721;166.87946;295.66078;196.83818;148.23297;101.59318;72.41103;82.41726;72.87967;174.312;175.56048;88.85423;117.38794;381.87605;186.13684;30.7135;53.66117;267.15764;106.24058;96.89209;25.57097;177.52645;156.93297;218.7157;250.42725;278.62731;238.95444;299.28602;154.07883;140.48905;69.98251;5.04437;74.83446;148.13366;218.7157;461.96089;158.79153;80.99676;119.98279;32.61776;97.38707
 İklimlendirme Sanayii;KIRŞEHIR;0;45.51432;68.76702;0;79.26518;16.57;26.03961;33.976;114.20492;85.66301;117.72511;41.64565;15.82495;71.54603;5.49867;18.574;81.32488;14.891;42.65486;32.465;94.79728;24.28996;6.92345;32.7436;1.264;0.50382;7.128;24.70839;34.80905;40.618;106.87676;33.75606;7.80473;27.7632;5.30563;23.76748;62.51466;13.68984;12.77987;165.49916;2.40177;106.87676;159.62851;83.72147;58.15511;45.04149;119.59623;100.19907
 Kimyevi Maddeler ve Mamulleri  ;KIRŞEHIR;55.45286;4.61894;0.07339;41.50554;29.85788;19.29864;23.66051;26.50328;18.53233;15.49203;9.16778;26.40703;29.5534;6.06551;13.13632;29.18823;46.19437;17.38914;18.15815;28.35036;2.1341;19.15113;0.62592;18.66202;7.53342;31.88157;11.42585;3.14658;116.71342;60.58713;26.06491;40.20827;5.29471;0.63991;47.77269;65.00776;19.34037;17.42635;2.33044;59.00672;6.28076;26.06491;9.9389;30.14928;3.25486;196.20896;0.15759;78.14889
 Kuru Meyve ve Mamulleri  ;KIRŞEHIR;37.50523;34.67082;88.84694;66.74371;67.83473;47.37391;0;0;0;31.90496;67.01257;31.78725;42.74216;18.05553;26.05882;33.43549;16.65104;46.67271;8.3348;22.08764;50.37513;22.71155;13.41085;0;48.24625;38.91135;39.25607;33.43178;38.22795;51.4144;37.70041;56.88944;22.72609;83.45346;35.23944;21.80421;22.60145;29.74711;12.43493;12.07883;58.21067;37.70041;18.52993;36.62435;6.20913;16.89606;30.61878;55.52711
