sector;province;2019-01-01;2019-03-01;2019-05-01;2019-07-01;2019-08-01;2019-10-01;2019-12-01;2020-01-01;2020-02-01;2020-03-01;2020-04-01;2020-05-01;2020-06-01;2020-07-01;2020-08-01;2020-09-01;2020-10-01;2020-11-01;2020-12-01;2021-01-01;2021-02-01;2021-03-01;2021-04-01;2021-05-01;2021-06-01;2021-07-01;2021-08-01;2021-09-01;2021-10-01;2021-11-01;2021-12-01;2022-01-01;2022-02-01;2022-03-01;2022-04-01;2022-05-01;2022-06-01;2022-08-01;2022-09-01;2022-10-01;2022-11-01;2022-12-01;2023-01-01;2023-02-01;2023-03-01
 Otomotiv Endüstrisi;MUĞLA;233.8524;41576.4167;9.2831;306.18047;0;31026.87903;60.93786;40.38289;34482.19074;29112.03486;0;7.17685;243.54365;283.92449;15.201;37267.11124;36584.0286;779.74489;361.84078;51.70149;72.30009;210008.9546;204038.2123;37.27241;0.17;125.05657;139.60106;115.0813;125.24724;343.78751;233.44407;87.44549;99.68047;277107.7955;233095.1031;3865.78908;3731.46737;2879.16576;3875.90188;3338.0441;5122.42097;3789.60124;4441.77714;2864.66446;4970.16479
 Su Ürünleri ve Hayvansal Mamuller;MUĞLA;24390.59358;0;17.97138;1230.93707;0;3.73368;38932.95479;30839.19933;11.50628;0;6.05288;3.85294;220.59271;379.68202;0;0;12.95926;1045.33578;796.31884;279.02086;204.21501;106.09636;161.59886;93.70337;141.72545;642.68276;53.53372;4.03268;1124.13007;29.16318;57.60054;47.87043;67.00269;607.1046;495.94165;2738.65773;1602.57843;7065.70432;7954.1264;5241.77988;8587.17239;1813.6275;1756.44684;1150.25308;506.82947
 Süs Bitkileri ve Mam.;MUĞLA;2.20239;28.93578;2730.65237;0;0;14.34666;8.12384;0;23.62169;43.6907;3277.5208;3361.75458;14.7763;8.03642;0;146.10163;221.24765;56.64353;37.74211;84.3184;122.16943;3359.34731;2020.7803;12.72364;25.32877;1382.30723;669.4787;1744.98477;144.207;74.89544;139.26538;156.69256;553.73251;3187.7202;4810.0145;51911.53093;68550.72143;3.36574;44.82388;0.08282;0.25654;111844.3255;89349.14944;78534.18639;71608.59564
 Tekstil ve Hammaddeleri;MUĞLA;33.17726;3164.60372;48.41967;105475.4867;0;2135.40023;67.2952;51.46126;3818.57758;4263.35874;44.90234;0;137638.2271;107024.0586;0;2302.17774;2645.42272;264.89393;95.50599;40.30564;59.66278;122.14607;109.76693;765.31231;662.70976;0.8428;0.62867;2.26664;0.49765;10.00064;0.12951;0;0;222.42119;254.57524;715.06977;1221.27099;4819.61006;5850.38213;7518.82937;6584.71926;1083.24267;1037.01753;290.28014;918.10592
 Yaş Meyve ve Sebze  ;MUĞLA;2390.02606;136.9156;51963.6189;1946.62742;0;16.6342;4755.79213;3516.79959;0;26.29951;35952.95917;44766.87953;1437.66545;1197.33807;0;0;14.07311;56.25088;2.59571;127.71263;111.70375;25.81071;103.30244;0;0.93747;243.16362;210.8021;254.27468;255.19355;3654.33086;23.24388;386.76163;469.62651;21.17859;641.80669;202924.0031;252924.1119;8650.11558;9164.98587;8473.71149;10286.99361;341325.2352;274441.4825;220760.0387;284630.2676
 Zeytin ve Zeytinyağı ;MUĞLA;66.33653;59523.56343;0;12.2;664.61595;43946.22385;20.35073;0.84845;46408.88973;43437.72387;7.92;10.027;0;14.402;294.4;56124.36943;54992.31979;7866.68724;8126.3391;3.64046;0.22999;131.19515;115.6525;353.01531;451.02567;456.43482;1398.52926;1087.69992;1109.35834;0.46187;0.18235;943.63564;1377.44826;148.42876;97.39629;452.49405;351.76582;61.03167;159.52783;169.51532;52.51272;79.52386;366.89626;421.1223;398.15681
 Çimento Cam Seramik ve Toprak Ürünleri;MUŞ;0;0;0;7639.41734;0;0.05286;2;11.96;0;0;0;0;7333.93513;7788.38344;0;0;0;590.48842;202.89588;959.95941;529.10582;975.30022;457.62647;50.84984;47.83736;151.31611;91.3898;405.98829;498.61224;1107.21423;643.9504;302.42936;417.62118;163.7137;52.37874;424.68644;606.01199;4887.92423;3028.54522;3017.10518;1629.4184;402.63783;375.00564;363.4711;123.37726
 Demir ve Demir Dışı Metaller ;MUŞ;0;0;0;4341.83745;0;0;0;0;0;0;13.17106;0;3520.42625;4070.54092;0;0;0;547.354;469.30053;36.58113;72.17488;0.01551;1.63981;122.30925;262.50532;0;0;0.43187;25.79548;55.08735;277.98482;0;29.26129;0;0.08862;50.2133;29.20749;28621.26302;33538.83504;60264.92879;96750.19159;321.42901;140.52274;184.597;198.52561
 Hazırgiyim ve Konfeksiyon ;MUŞ;6.34409;0;0;18.39586;664.61595;0;0;0;0;14.9033;0;0;8.77027;18.01057;309.601;0;0;674.51917;0;155.1971;100.64147;335.29471;392.91355;55.19891;1.46364;8392.79857;9239.06154;9780.08951;8890.3069;235.6856;798.29758;10487.77437;9778.0509;595.98851;867.09768;121.83912;88.11817;704.43558;510.61761;595.29916;643.94492;98.9233;18.07911;22.55437;99.32794
 Kimyevi Maddeler ve Mamulleri  ;MUŞ;0;0;418.64124;0;1498.19253;552;84.22199;0;0;0;579.6;322;0;0;768.31069;598;506;10.02405;0.342;0.2016;0;979.57755;1085.28871;7960.97907;10186.13951;386.25521;49.944;547.6016;295.94541;0;4.16114;316.57923;874.21038;2100.85953;2274.37601;43.88567;39.05491;203540.6228;249726.9507;260611.9323;323122.2818;177.62899;54.51721;176.59369;128.69473
 Kuru Meyve ve Mamulleri  ;MUŞ;0;627.59;0;0;8.96295;22.07982;0;0;450.8;10.90363;0;0;0;0;52.6825;0;0;32551.30179;45958.24374;7877.38157;6348.52089;36.30959;4.24361;502.03909;364.97106;276.88484;277.65388;554.14146;386.49758;11172.22441;11021.17136;309.40007;374.24927;177.18094;262.71319;414.21509;1307.92939;543.15118;535.05912;181.77192;788.86164;2117.47367;701.018;52.61867;85.01054
 Madencilik Ürünleri;MUŞ;295.85;0;0;0;117.08037;0;472.0925;31.69236;0;0;0;0;0.56449;4.34019;11.19819;0;0;18.36727;7.75344;154.93432;625.62537;200.56475;291.04528;160.35709;354.13367;732.63682;480.36434;643.85883;475.37941;573.84664;588.15856;587.34489;255.44736;483.71663;809.93555;0;0.34002;3487.13127;2251.99871;3292.01813;2222.98015;0;5.20993;0;0
 Makine ve Aksamları;MUŞ;70.6433;0;235.84077;1524.73754;0;0;1.04;0;0;0;0;0;48.51911;90.33908;1.4187;0;0;28.28793;68.4683;405.67444;409.3015;0.34692;0;703.01766;747.4229;0;623.98452;97.42521;170.75765;398.04665;523.90147;39.50748;211.50824;28.64668;19.23698;350.32579;480.03422;706.03104;536.67153;569.2386;529.49927;346.97407;290.34489;453.84751;637.0451
 Mobilya.Kağıt ve Orman Ürünleri;MUŞ;0;0;865.96473;62.74654;0;574.13268;0;0;0;0;600.69106;332.027;2.45579;76.104;0.00962;608.008;506;4931.27541;7128.9045;348.39386;510.82024;6985.07692;8158.24992;0;63.79812;5.54249;88.79833;121.45099;8.26003;554.12521;519.28965;227.45752;287.62263;11944.42656;11602.54744;1356.27405;1323.18556;72.83699;27.72101;20.95602;37.74742;2427.28517;2124.48884;6226.3634;5990.24193
 Otomotiv Endüstrisi;MUŞ;0;627.59;981.1203;733618.6408;110.096;1163.65897;19;0;454.76;29.80693;477.82896;1006.64098;462033.8622;579343.9564;79.62177;940.08697;1162.50731;0.24816;38.63264;1.0061;61.04895;213.24605;431.49733;28.48425;44.47676;45532.2278;44922.03599;45118.31225;43043.07716;564.85717;125.88981;37567.85038;40929.92653;825.04805;1326.37707;153.39833;187.13831;137.03567;99.42725;108.0713;104.62836;113.78189;309.44965;140.92995;192.60274
 Çelik;NEVŞEHIR;1122.71334;30.80907;21.86102;20515.70707;207.87651;110.51907;1222.94855;1455.51952;59.03261;4.01227;34.86798;70.76621;15702.86144;23075.58214;0.78;65.50736;39.27648;0;0;30858.25248;34272.22732;651.79358;602.78069;0;0;18.01719;98.90987;38.03424;26.0661;42087.45168;63711.22728;191.50354;165.59616;487.07179;807.87502;1.53446;0;1068.04737;4527.1277;319.181;3210.2757;28.54843;1.835;14.35186;34.63953
